comparison,origin_cell,destination_cell,PROLIFIC_PID,origin_trial_order,destination_trial_order,origin_weight_M,origin_weight_S,origin_weight_C,destination_weight_M,destination_weight_S,destination_weight_C,delta_weight_M,delta_weight_S,delta_weight_C,origin_share_sent,destination_share_sent,delta_share_sent
KW Control to LT Control,kw_control,lt_control,5bdabcdaf43c390001f438e4,2,1,0.6392746284443539,0.340326294247655,0.020399077307991058,0.6938059520656559,0.28085585526866186,0.025338192665682248,0.054531323621301975,-0.05947043897899312,0.00493911535769119,0.4166666666666666,0.4166666666666666,0.0
KW Control to LT Control,kw_control,lt_control,5c14e1972b16ba0001c94560,1,2,0.7348240386038116,0.24112598057838544,0.024049980817803,0.7456166311746436,0.22667347524940568,0.027709893575950682,0.010792592570831983,-0.014452505328979764,0.0036599127581476813,0.5,0.5,0.0
KW Control to LT Control,kw_control,lt_control,5c2fd16fda51990001e49de9,2,1,0.7348240386038116,0.24112598057838544,0.024049980817803,0.6592451239606861,0.31650686138476325,0.02424801465455068,-0.0755789146431255,0.07538088080637781,0.00019803383674767833,0.5,0.5,0.0
KW Control to LT Control,kw_control,lt_control,5c31870d8a20f50001ea9dfa,1,2,0.7348240386038116,0.24112598057838544,0.024049980817803,0.6938059520656559,0.28085585526866186,0.025338192665682248,-0.04101808653815575,0.03972987469027642,0.0012882118478792469,0.5,0.3333333333333333,-0.16666666666666669
KW Control to LT Control,kw_control,lt_control,5c42f9388bb6fd000163d1b4,1,2,0.7035431156543198,0.23866466173770026,0.057792222607979934,0.6938059520656559,0.28085585526866186,0.025338192665682248,-0.009737163588663944,0.042191193530961596,-0.03245402994229769,0.0,0.4166666666666666,0.4166666666666666
KW Control to LT Control,kw_control,lt_control,5c44a3c7d511190001151268,2,1,0.6475290386846746,0.3317661475520867,0.020704813763238718,0.6363830781276004,0.3404559467775654,0.02316097509483422,-0.011145960557074175,0.00868979922547869,0.002456161331595503,0.375,0.4166666666666666,0.041666666666666574
KW Control to LT Control,kw_control,lt_control,5c4cdcb14cb4630001ec4955,2,1,0.7348240386038116,0.24112598057838544,0.024049980817803,0.6592451239606861,0.31650686138476325,0.02424801465455068,-0.0755789146431255,0.07538088080637781,0.00019803383674767833,0.5,0.5,0.0
KW Control to LT Control,kw_control,lt_control,5c5099e98ac59200014d0c2c,2,1,0.8013508869904555,0.17108433562849146,0.027564777381053,0.6363830781276004,0.34045594677756535,0.02316097509483422,-0.16496780886285511,0.1693716111490739,-0.00440380228621878,0.3333333333333333,0.5,0.16666666666666669
KW Control to LT Control,kw_control,lt_control,5c55faafb571e7000119e576,2,1,0.7348240386038116,0.24112598057838544,0.024049980817803,0.6363830781276004,0.3404559467775654,0.02316097509483422,-0.0984409604762112,0.09932996619917997,-0.0008890057229687803,0.5,0.5,0.0
KW Control to LT Control,kw_control,lt_control,5c561712f9120f0001d29c4d,1,2,0.7348240386038116,0.24112598057838544,0.024049980817803,0.7484564738128856,0.2241181293459907,0.027425396841123665,0.013632435209073979,-0.017007851232394733,0.003375416023320664,0.4166666666666666,0.4583333333333333,0.04166666666666674
KW Control to LT Control,kw_control,lt_control,5c59836a192d350001d5afbd,1,2,0.7288123664630296,0.24687778125082477,0.024309852286145676,0.5706975914045836,0.40828684618948197,0.021015562405934413,-0.15811477505844596,0.1614090649386572,-0.003294289880211264,0.1666666666666666,0.0,-0.1666666666666666
KW Control to LT Control,kw_control,lt_control,5c65b3d45416680001bed9fa,1,2,0.7436141316380389,0.23004848384176463,0.02633738452019649,0.6484058389618463,0.32702533097915953,0.02456883005899412,-0.09520829267619257,0.0969768471373949,-0.00176855446120237,0.5,0.6666666666666667,0.16666666666666674
KW Control to LT Control,kw_control,lt_control,5c66e7af348487000178de1f,2,1,0.7668377549379678,0.1680635813897194,0.06509866367231279,0.6538570836438568,0.30747085837019655,0.03867205798594665,-0.11298067129411105,0.13940727698047714,-0.026426605686366136,0.5,0.6666666666666667,0.16666666666666674
KW Control to LT Control,kw_control,lt_control,5c674a8f58b97400013b2b34,2,1,0.8013508869904555,0.17108433562849146,0.027564777381053,0.6257356478853578,0.33770697425361357,0.03655737786102861,-0.1756152391050977,0.1666226386251221,0.008992600479975611,0.5,0.5,0.0
KW Control to LT Control,kw_control,lt_control,5c707aa503f85b0001af8c7b,1,2,0.6601106837385211,0.31913021086148324,0.02075910539999561,0.6938059520656559,0.28085585526866186,0.025338192665682248,0.033695268327134764,-0.038274355592821385,0.004579087265686638,0.5,0.3333333333333333,-0.16666666666666669
KW Control to LT Control,kw_control,lt_control,5c7288f41384ee000111604a,2,1,0.6369705829390352,0.31432961085690836,0.04869980620405645,0.6363830781276004,0.34045594677756535,0.02316097509483422,-0.0005875048114347692,0.026126335920656996,-0.02553883110922223,0.5,0.5,0.0
KW Control to LT Control,kw_control,lt_control,5c730ca1f674750001df8d09,1,2,0.7348240386038116,0.24112598057838544,0.024049980817803,0.6363830781276004,0.3404559467775654,0.02316097509483422,-0.0984409604762112,0.09932996619917997,-0.0008890057229687803,0.5,0.4166666666666666,-0.08333333333333343
KW Control to LT Control,kw_control,lt_control,5c765990f33ac60016b7b2a1,1,2,0.7348240386038116,0.24112598057838544,0.024049980817803,0.6938059520656559,0.28085585526866186,0.025338192665682248,-0.04101808653815575,0.03972987469027642,0.0012882118478792469,0.5,0.5,0.0
KW Control to LT Control,kw_control,lt_control,5c7700692ceba0001668a988,1,2,0.7348240386038116,0.24112598057838544,0.024049980817803,0.7460435092734893,0.22617513582291215,0.027781354903598565,0.011219470669677656,-0.014950844755473286,0.003731374085795564,0.5,0.5,0.0
KW Control to LT Control,kw_control,lt_control,5c8406438d2bbf0017e4a416,1,2,0.7247105410046907,0.25111932744758747,0.024170131547721904,0.6363830781276004,0.3404559467775654,0.02316097509483422,-0.08832746287709026,0.08933661932997794,-0.0010091564528876829,0.5,0.5,0.0
KW Control to LT Control,kw_control,lt_control,5c85423f39b9760017938311,1,2,0.7247105410046907,0.25111932744758747,0.024170131547721904,0.6228409042535668,0.3541748127790127,0.02298428296742061,-0.10186963675112393,0.10305548533142522,-0.001185848580301293,0.5,0.5,0.0
KW Control to LT Control,kw_control,lt_control,5ca345b1506fca0016b358bb,2,1,0.8013508869904555,0.17108433562849146,0.027564777381053,0.7214308112126578,0.2518708562066857,0.026698332580656493,-0.0799200757777977,0.08078652057819424,-0.000866444800396507,0.5,0.5,0.0
KW Control to LT Control,kw_control,lt_control,5ca6bbf13b5fcf00100996e9,2,1,0.7348240386038116,0.24112598057838544,0.024049980817803,0.6938059520656559,0.28085585526866186,0.025338192665682248,-0.04101808653815575,0.03972987469027642,0.0012882118478792469,0.0,0.3333333333333333,0.3333333333333333
KW Control to LT Control,kw_control,lt_control,5ca73fe6bcdcc2001291822d,1,2,0.7715572501077551,0.16592244856587485,0.06252030132636997,0.6482243380878459,0.3133436321064592,0.0384320298056949,-0.12333291201990926,0.14742118354058437,-0.024088271520675074,0.5,0.3333333333333333,-0.16666666666666669
