subject_id,subject_effect_S,subject_effect_C,subject_weight_M,subject_weight_S,subject_weight_C
control_kwlt::5e8b9c7054a5cc07dd6e174d,0.5843045484947534,-0.0838229767421083,0.60003986966893,0.379715321958815,0.020244808372254952
control_kwlt::5e8f89db8ed06f27d73030ae,-0.5283379862783141,-0.095584552761692,0.778520881283725,0.19499738210870748,0.026481736607567564
control_kwlt::5e8fa37bf594d02a576c7a46,-0.2653215916572067,-0.07008708001270933,0.7416033990374231,0.23262379502966257,0.02577280593291424
control_kwlt::5e903aadbf2af034503d9bac,-0.15537712368909035,-0.09147248098719217,0.7256361973889516,0.24972479408870088,0.02463900852234756
control_kwlt::5e917b152952914a6d3043c2,-0.0072372538513053985,-0.09688516547417063,0.702632506366125,0.2736997939154586,0.023667699718416403
control_kwlt::5e9397d303807b2006e77d5a,0.2934357239989487,-0.09051568370868383,0.6523219409782582,0.3256887653011594,0.021989293720582306
control_kwlt::5e9847daec534b03f4769cab,-0.396301112621768,-0.05433803565668791,0.7598919166362328,0.2132246102733525,0.02688347309041467
control_kwlt::5e9a4793c4069d0dd2e7eb4f,0.29343572399894874,-0.09051568370868389,0.6523219409782582,0.3256887653011594,0.021989293720582306
control_kwlt::5ea040d5956554000971fb25,-0.07519846282858347,-0.07734215797171355,0.7130232293722764,0.26245542244939146,0.024521348178332233
control_kwlt::5ea047d315537303f1e60ef9,0.1804973188690982,-0.05721172219659958,0.6711268255120262,0.3054328449435649,0.02344032954440894
control_kwlt::5ea0627f31802801d5675c08,-0.49104771070156633,0.9038044721780361,0.7396587475898052,0.19201590622485765,0.06832534618533717
control_kwlt::5ea17210ed317101db3ecc0b,0.17531712663406743,-0.08610451841255148,0.6724717973678082,0.3047077725600372,0.02282043007215458
